101,3.302574
201,2.622591
301,2.375866
401,1.993137
501,1.671572
601,1.320250
701,1.166345
801,1.110005
901,1.074530
1001,1.058031
1101,1.047476
1201,1.040438
1301,1.034793
1401,1.030223
1501,1.025260
1601,1.021966
1701,1.018784
1801,1.016203
1901,1.013583
2001,1.011111
2101,1.009798
2201,1.008231
2301,1.006978
2401,1.005430
2501,1.004191
2601,1.003337
2701,1.002324
2801,1.001566
2901,1.000677
3001,1.000057
3101,0.999455
3201,0.998883
3301,0.998357
3401,0.997899
3501,0.997377
3601,0.996928
3701,0.996514
3801,0.996165
3901,0.995862
4001,0.995660
4101,0.995180
4201,0.994945
4301,0.994669
4401,0.994352
4501,0.994144
4601,0.993831
4701,0.993578
4801,0.993410
4901,0.993192
5001,0.993019
5101,0.992785
5201,0.992503
5301,0.992335
5401,0.991957
5501,0.991732
5601,0.991558
5701,0.991394
5801,0.991196
5901,0.991042
6001,0.990949
6101,0.990760
6201,0.990661
6301,0.990554
6401,0.990400
6501,0.990327
6601,0.990123
6701,0.989989
6801,0.989814
6901,0.989618
7001,0.989595
7101,0.989391
7201,0.989338
7301,0.989242
7401,0.989150
7501,0.989030
7601,0.988963
7701,0.988895
7801,0.988782
7901,0.988709
8001,0.988564
8101,0.988580
8201,0.988474
8301,0.988422
8401,0.988361
8501,0.988273
8601,0.988256
8701,0.988217
8801,0.988076
8901,0.988040
9001,0.988052
9101,0.987934
9201,0.987789
9301,0.987723
9401,0.987767
9501,0.987672
9601,0.987673
9701,0.987493
9801,0.987516
9901,0.987405
10001,0.987420
10101,0.987385
10201,0.987330
10301,0.987256
10401,0.987151
10501,0.987099
10601,0.987108
10701,0.987025
10801,0.986979
10901,0.986927
11001,0.986794
11101,0.986815
11201,0.986684
11301,0.986643
11401,0.986643
11501,0.986593
11601,0.986553
11701,0.986492
11801,0.986450
11901,0.986407
12001,0.986299
12101,0.986255
12201,0.986242
12301,0.986211
12401,0.986118
12501,0.986125
12601,0.986107
12701,0.986037
12801,0.986021
12901,0.985987
13001,0.985887
13101,0.985880
13201,0.985856
13301,0.985748
13401,0.985754
13501,0.985728
13601,0.985676
13701,0.985679
13801,0.985569
13901,0.985578
14001,0.985518
14101,0.985477
14201,0.985484
14301,0.985473
14401,0.985390
14501,0.985379
14601,0.985364
14701,0.985349
14801,0.985319
14901,0.985285
15001,0.985227
15101,0.985170
15201,0.985174
15301,0.985174
15401,0.985144
15501,0.985057
15601,0.985067
15701,0.985066
15801,0.985003
15901,0.984954
16001,0.984950
16101,0.984927
16201,0.984890
16301,0.984916
16401,0.984892
16501,0.984868
16601,0.984850
